TASK,category,,
"This script fetch list of access point client details with IP address ,hostnames, MAC Address, AP Name, Status and exports to a text file",automatable,,
This script is for speed/Duplex & Port issues troubleshooting,automatable,,
This is a python script and it will login to network Switch via SSH connection where it will enter into enable mode of switch and will run show config command to fetch running configuration details of it.  ,automatable,,
This script for Standard Switch Configuration,automatable,,
suse Linux OS Patching,automatable,,
Hot add feature,automatable,,
ILO / DRAC / ESX root password reset,automatable,,
Cleanup the var file system,automatable,,
Shell script to modify/update the umask values,automatable,,
VSS writer status,automatable,,
Avamar Backup Agent service status,automatable,,
Networker Remote Exec Service status,automatable,,
Windows Firewall Status,automatable,,
"Ticket creation for Alert of files, webpages, DB, chase error, discrepancy existence and process",automatable,,
Ticket creation for CPU utilization too high,automatable,,
"Ticket creation for error process failed, error in data processing",automatable,,
Ticket creation for memory insufficient issue,automatable,,
Ticket creation for server unreachable ,automatable,,
SAN switch backup,automatable,,
BACKUP SYM DB on VMAX,automatable,,
Cluster service status report,automatable,,
SQL Service Pack Installation,automatable,,
Create SQL Database,automatable,,
Create Necessary User Accounts,automatable,,
This script giver read and write permissions respective of users.,automatable,,
Add Users on all admin roles,automatable,,
Orpahn User,automatable,,
DB Growth,automatable,,
SQL Server Automated Installation,automatable,,
Database Migration,automatable,,
SQL Services,automatable,,
Alert for new database creation,automatable,,
SQL_Capacity_Report,automatable,,
DB Growth Report,automatable,,
Server services status,automatable,,
Back-Up Report,automatable,,
 Delete database,automatable,,
Performance Troubleshooting,automatable,,
SQL Patch Management,automatable,,
The script is used to create audit for all databases in every instance of SQL using powershell.,automatable,,
MONITOR SQL SERVER HEALTH FOR MULTIPLE INSTANCES AND TRIGGER ALERT MAIL,automatable,,
Power Broker Report Automation,automatable,,
Gathering FPOS Logs,automatable,,
Clearing C: Drive Space on DPWs,automatable,,
Configure Outlook,automatable,,
Configure Internet Explorer or Update IE,automatable,,
Default Homepage Setup,automatable,,
Endpoint Encryption Activation,automatable,,
Checkpoint VPN,automatable,,
Password reset,automatable,,
Providing Grants to users and roles,automatable,,
Assign profile to database users. ,automatable,,
Wait events,automatable,,
Adding a new resources (Eg: filesystem ) into existing Cluster,automatable,,
DL Creation,automatable,,
DL Modification (Add/Remove Member from DL),automatable,,
Mailbox Storage Quota Limit,automatable,,
Incident Audit Automation,automatable,,
All clients backup / duplicate / restore failures from last 24 hours,automatable,,
"Backup server, Media Server , Tape library availability",automatable,,
Backup Window monitoring and analysis,automatable,,
Check that all the clients which are configured in backup rotation are Getting jobs triggered everyday without fail make sure we are not Missing any day backup,automatable,,
Client installation/remotely/based on platform,automatable,,
Deduplication Statistics reports,automatable,,
"Disaster recovery of� Client (windows,unix,linux, etc.)",automatable,,
Make sure that all the clients whose job got failed are having incident,automatable,,
Manage backup failure (due to missed files or missed backups) and analyze logs and run make up jobs,automatable,,
 Automate Failed SQL Server backups.  Rerun for failed backups.,automatable,,
Automate Space alerts ,automatable,,
This script will get the Vmhost HBA and it's active/dead states of SCSILUN (SCSI Path Failure),automatable,,
The Above powershell script is used to find the switch port link failure and respective output will be sent as an email for user.,automatable,,
"This script is used to find the orphan/idle server in an environment using WWN,HBA,Maskname for SVC's",automatable,,
Menu based shell script that allows the user to check/verify the existing package details and then update it or not according to the user requirement. Provides facility to Install/Update package and also to remove a package,automatable,,
"Menu based shell script to Configuring Paging Space, Listing Virtual Memory, Listing of paging device, Changing paging spaces dynamically",automatable,,
"Menu based shell script to monitor and fetch the details of the network. The menu items consist of listing all ports,Listing TCP/UDP, Listing active listening ports/TCP/UDP.",automatable,,
Menu based shell script to install or uninstall softwares that are user specific and also uninstalling the packages based on user request.,automatable,,
"Menu based shell script to monitor and fetch the details of the network. The menu items consist of listing all ports,Listing TCP/UDP, Listing active listening ports/TCP/UDP",automatable,,
SharePoint2010 Service health Monitoring,automatable,,
SharePoint Org Chart Replacement Photo PowerShell Script,automatable,,
Critical low free space alert for database on site: HSC,automatable,,
Daily monitoring of Client Status of all Physical Work stations,automatable,,
Daily monitoring of Component Status,automatable,,
Daily monitoring of Distribution Point Group Status,automatable,,
Daily monitoring of Distribution Point Package Status,automatable,,
Daily monitoring of Primary Site Server Services,automatable,,
Daily monitoring of Site System Health Status,automatable,,
Daily monitoring of Software Update Point Status,automatable,,
Daily monitoring of SQL Server Services,automatable,,
Changing schedule in Automatic Deployment Rule ,automatable,,
Downloading Google Chrome latest update ,automatable,,
Add latest Google Chrome updates to current Software Update Group,automatable,,
Create Deployments for Patching Process,automatable,,
Checking status of the Patch Deployments,automatable,,
Providing Monthly report of adobe products ,automatable,,
Checking status of the Adobe Flash player Deployments,automatable,,
Client Remediating ,automatable,,
Packaging projects Production (on an average) ,automatable,,
All workstations hardware Inventory,automatable,,
Packaging process,automatable,,
package Testing,automatable,,
System Performance reports,automatable,,
Session Block Email alert,automatable,,
High CPU alert Email on Live queries,automatable,,
System Health Email alerts,automatable,,
Stats Automation,automatable,,
Idle session abort,automatable,,
Status check for Moogsoft process running.,automatable,,
� Start and stop Moogsoft application.,automatable,,
"To check the functionalities ,such as alerting, auto ticketing, port monitoring.",automatable,,
Checking the alert counts for performance of Moogsoft.,automatable,,
"� Log file compression, archiving and removal.",automatable,,
 Data purging in database of moogsoft.,automatable,,
"� Application, Configuration & Data Backup.",automatable,,
"Restoration of Application, Configuration & Data.",automatable,,
"Daily maintenance of HPOM messages for Opc, openview, operating system, Internal, Misc, scrpttest message group",automatable,,
Improve HPOM database performance,automatable,,
Configuration and other filesystem data backup,automatable,,
Agent insatllation / Uninstall/ Upgrade,automatable,,
Agent cleanstart ,automatable,,
Agent Coreid set and update,automatable,,
Agent removal,automatable,,
 Certificate communication issues,automatable,,
 Process start for HPOM agent ,automatable,,
��Status check for HP OM  process running.,automatable,,
� Start and stop HP OM application.,automatable,,
"cd /etc/opt/OV, move current date file to common shared folder",automatable,,
��Status check for HP  Sitescope process running.,automatable,,
� Start and stop HP  Sitescopeapplication.,automatable,,
To troubleshoot the various health monitor issues ,automatable,,
Load and performance statistics of Sitescope,automatable,,
To work on issues related to opcagt -status and %ovagentdir%/logs/system.txt,automatable,,
 BSA_Agent Healing,automatable,,
 Duplicate Server finder,automatable,,
 BSA Agent License Report,automatable,,
 BSA Database cleanup activity - Daily,automatable,,
BSA Historical Logs cleanup,automatable,,
 BSA Job Results cleanup,automatable,,
BSA Agent status,automatable,,
 Retention Policy,automatable,,
Updating Server Properities,automatable,,
Run ETL from OM Script,automatable,,
Disk cleanup activity,automatable,,
"Health check of WILY Application, disk utilization of the application mountpoints",automatable,,
Starting of the application if the application processeses are down,automatable,,
Install WILY agent in Application servers,automatable,,
Backup / Clean up WILY log files,automatable,,
Install DynaTrace agent in Application servers,automatable,,
Backup / Clean up DynaTrace log files,automatable,,
Analysing the log files and intimating the team for possible errors,automatable,,
Status check for Splunkprocess running.,automatable,,
Start and stop Splunk application.,automatable,,
"Log file compression, archiving and removal in Splunk",automatable,,
Status check for BCO process running.,automatable,,
Start and stop BCO application.,automatable,,
"Log file compression, archiving and removal in BCO",automatable,,
Report Generation,automatable,,
Synchronization failure alert for software update point: PWAUSWIFSC04.adhcscint.net (HSC),automatable,,
Site backup task failure alert at site: HCSC ConfigMgr 2012 Primary Site (HSC),automatable,,
Database Replication component failed to run on site HSC,automatable,,
Script that Backup of Switch Zone Database/ configuration,automatable,,
Powershell script to get SPO Site list for which the Quota is exceeded by 80%,automatable,,
Warning low free space alert for database on site: HSC,automatable,,
"Script checks the cpu utilization, the load percentage compared to threshold and give top 10 processes consuming highest CPU ",automatable,,
Script checks the memory consumption compared to threshold and give top 10 processes consuming highest memory,automatable,,
Script to check status of service and change it.,automatable,,
Script for Health checkup(provide CPU & Memory consumption and list of stopped OS automated services ),automatable,,
Script gets last boot up time for the input server.,automatable,,
Script fetch C drive details providing which top 5 folders/files consuming more space,automatable,,
Script gets the latest installed hotfix details on specified input server name and installed date,automatable,,
Script give security permissions to any file\folder for any user,automatable,,
Script checks the clusvc service is running or not in multiple computers.,automatable,,
Script displays disk space details of servers given as input.,automatable,,
Script displays dns servers list out of the given input servers list,automatable,,
"Script generates csv report with the ESX datastore details such as name, hdsize, hdfree.",automatable,,
Script installs SCOM agent on remote computer,automatable,,
Script check the rechability of servers and RDP of reachable servers.,automatable,,
Script does silent installation of hotfix,automatable,,
Script retrieves ntp server details of esx host,automatable,,
Script gets specific details about clustered resource and generates a html report.,automatable,,
Script installs symantec setup on input servers,automatable,,
Script add a new user to the specified AD group.,automatable,,
Script adds a new roles and features in server manager.,automatable,,
Script does complete health check up of vcenter.(Vcenter Audit),automatable,,
"Script will provision a 4GB Ram, 40 GB HD Server 1508 R2 VM, set the CD to an OSD iso, set the BootDelay to 5 seconds, and start the machine and create log file",automatable,,
Script generates snapshot report for multiple snapshots for multiple vcenterserver as per the input.,automatable,,
"Script which displays all software details such as Display version,Installed date.",automatable,,
Script shows hardware and os details for the list of computers given as input.,automatable,,
Script exports Powered Off VM from vCenter into a .CSV file,automatable,,
Script installs or updates the tools to the virtual machine.,automatable,,
Script starts and stops (Restart) a virtual machine,automatable,,
Script to restart commvault services.,automatable,,
User ID creation /deletion/Password Reset ,automatable,,
Unlock ID and clear logging attempt,automatable,,
Database and log backup configuration,automatable,,
All media servers are up and running,automatable,,
All services are up on master server and no issue with any of services / daemons,automatable,,
Check for scratch tapes available in library,automatable,,
Tape waiting messages,automatable,,
"Decommission the CommVault client. At run time user has to give the input client which needs to be decommissioned, it will automatically release the license and update the ticket no. in description.",automatable,,
This script communicates with the CommVault hosts and runs command to verify the space utilization of Disk libraries,automatable,,
This script gets the server names from a txt file and get the backup report of those servers(with all sub-clients) and store it in a csv file,automatable,,
This script resolves non responsive operations in the commvault client server,automatable,,
This script is used to identify the clients whose backups are running for more than 24 hours ,automatable,,
This script is used to check for jobs which are incomplete in a server,automatable,,
This script is used to check for jobs which are not completed and still in running or execution state,automatable,,
This script returns the last backedup time of the particular server,automatable,,
This script Is used to perform backup audit and generate the details in an CSV file,automatable,,
This script is used to fetch the switch health check status and stored the output in text file. Which are moved to given SFTP location,automatable,,
This script will fetch the backup config files of SAN Switches  which are moved to given SFTP location.,automatable,,
This is used to create the database of SQL server.,automatable,,
This script giver read and write permissions respective of users.,automatable,,
"This script will shows the general information like db owner,size,status,name and create date of an database.",automatable,,
The script will generate SQL DB growth trend report (Current month + Last 5 months high  utilization database  reports).,automatable,,
Refresh Full,automatable,,
Refresh Schema,automatable,,
Refresh table,automatable,,
Send mail for patching activity to all stake holders from CMDB sheet,automatable,,
verify the Root Password multiple esxi host.,automatable,,
reset the root password multiple host.,automatable,,
add SG group in Host local group.,automatable,,
kill the power off unresponsive virtual machine esxi ( find the virtual machine would ID ),automatable,,
hot plug enabled or disabled from virtual machine,automatable,,
"Reviewing and configuration Virtual Machines ( expand disk , memory, CPU, network )�",automatable,,
capacity info of Virtual machine� ( including datastore ),automatable,,
VMotion Virtual Machine to other hosts.,automatable,,
datastore rescan,automatable,,
storage vMotion on virtual machine other datastore.,automatable,,
Configuring vSwitch and port groups,automatable,,
Configuring distributed switch and port groups,automatable,,
Deploy virtual machine from template ( multiple VM's),automatable,,
Configurating NTP server ESXI host,automatable,,
Consolidate VM snapshot,automatable,,
crerating snapshot of virtual machines,automatable,,
creating host profile,automatable,,
"Finding esxi host Hardware information ( model number, services tag, hardware bios information)",automatable,,
verifing multipath for esxi host,automatable,,
verifing multipath for datastore,automatable,,
VMtools update without reboot.,automatable,,
adding server owner information to virtual machine work notes.,automatable,,
"restart management agents from esxi host ( hostd and vpxa, services.sh )",automatable,,
Network Share Access,automatable,,
Adding multiple users users to security groups and DL’s using a csv file ,automatable,,
script to check for critical errors in any of the exchange servers,automatable,,
Patch Management,automatable,,
Disk & File Systems and orphen data Cleanups on (Linux/AIX),automatable,,
Creating and configuring VM disk,automatable,,
To identify the spare IP’s in the network,automatable,,
Security device configuration backup for public and private ip's ,automatable,,
Checking the product version,automatable,,
"Validate blocking, monitor for 15 min and determine offending SPID's provide results and route to HCL MSDBA or appplication team",automatable,,
"Network Hardware, CPU, PSU, FAN, FEX, Modules. ",automatable,,
SQL backups status code 1,automatable,,
Tapes details,automatable,,
Seven year retention check on monthly backups,automatable,,
event alert incidenct creation(user),automatable,,
adding users into a group,automatable,,
Account locked out issues ,automatable,,
develop routine scripts for day to day administration,automatable,,
admin local user group creation,automatable,,
removal and addition of DNS records,automatable,,
Public certificate issuance for application servers ,automatable,,
SFDC - License assignation ,automatable,,
Onboarding request,automatable,,
Offboarding request,automatable,,
Monthly cleanup (asset decomissioning),automatable,,
"create,delete and disable machine account",automatable,,
Moving user or computer from one OU to another,automatable,,
Reporting service access for GWD (MRS),automatable,,
troubleshoot the local user account,automatable,,
Smart recruit ,automatable,,
LEAN Audit reports ,automatable,,
Quarterly business review report ,automatable,,
Project initiation system ,automatable,,
Account review Deck ,automatable,,
Monthly summary report ,automatable,,
LMG report ,automatable,,
TOS ,automatable,,
CAPEX / OPEX ,automatable,,
Ops Hi-5 Data Submission ,automatable,,
RAS,automatable,,
vlan creation ,automatable,,
daily backup,automatable,,
IOS upgradation,automatable,,
new outlook profile setup,automatable,,
Install of Pdf Creator,automatable,,
printer management,automatable,,
client push,automatable,,
reclaim tickets,automatable,,
Weekly Ageing Report,automatable,,
Global/ AD password reset / lockout,automatable,,
KB Allocation Status Report - Daily,automatable,,
KB Allocation Status Report - Weekly,automatable,,
KB Allocation Status Report - Monthly,automatable,,
KB Creation Vs Retired (domain wise),automatable,,
Vendor Report,automatable,,
CI Correlation Status Report - Daily,automatable,,
CI Correlation Status Report - Weekly,automatable,,
CI Correlation Status Report - Monthly,automatable,,
New Hire mail access,automatable,,
Disable User requests,automatable,,
Dl creation and addition,automatable,,
Creating a room mailbox,automatable,,
Mailbox Access requests,automatable,,
How to assign Office365 E4/E3 License,automatable,,
Offboarding Process - Disable User,automatable,,
Visio license management,automatable,,
Group Creation,automatable,,
List all AD group,automatable,,
Setting Database Environment Variables - updates the  default env var,automatable,,
Create directory structure layout to place database files,automatable,,
Configure DB parameters file  -(3 predefined parameters),automatable,,
Create database,automatable,,
Backup reporting,automatable,,
Primary standby reporting,automatable,,
Database - monitors Database using the predefined db query,automatable,,
Tablespace  - monitors tablespace using the predefined db query,automatable,,
Table  - monitor table using the predefined db query,automatable,,
Configuring Swap Space,automatable,,
Antivirus software installaton,automatable,,
Check the File System status ,automatable,,
Add/Remove/Modify Filesystem,automatable,,
Add/Delete/Modify Sudo &Display; access,automatable,,
Add/Remove/modify groups,automatable,,
Add/Remove/modify users,automatable,,
Reset locked/unlock user account,automatable,,
Administating File and Directory & Special permissions,automatable,,
Reset locked/unlock user account,automatable,,
Add/Remove/modify users,automatable,,
Add/Remove/modify groups,automatable,,
Add/Delete/Modify Sudo/ACL/ &Display; access,automatable,,
Administating File and Directory & Special permissions,automatable,,
monitor CPU Utilization ,automatable,,
monitor Memory Utilization,automatable,,
monitor I/O Utilization,automatable,,
Fetching OS version for multiple servers,automatable,,
Application installation,automatable,,
Image Deployment,automatable,,
Bookin policy for Restricted Rooms,automatable,,
Account locked out,automatable,,
Group Policy ,automatable,,
Room list based on file,automatable,,
Health checkup,automatable,,
Space checkup,automatable,,
Adding conference rooms of the specific sites,automatable,,
CPU utilisation,automatable,,
Service account creation,automatable,,
Adding Conf room to the list,automatable,,
Room Editor list,automatable,,
VP restricted rooms,automatable,,
To find database size,automatable,,
ServiceAccount,automatable,,
Server health report,automatable,,
Server reboot upon issue/request,automatable,,
Extracting serial numbers,automatable,,
Troubleshooting of different Error Codes if problem is related to windows client ,automatable,,
Disk & File Systems Cleanups,automatable,,
"Windows Services Management - Start, Stop",automatable,,
Server time synchronisation,automatable,,
Set/update the size of the page file of pagefile.sys,automatable,,
Disk space utilization,automatable,,
Precheck and post check patching verification,automatable,,
Patch updates,automatable,,
Server report (ping and rdp),automatable,,
check service status,automatable,,
Listing installed application,automatable,,
Fetching TTL values for multiple servers,automatable,,
Robocopy,automatable,,
Patch Uptime,automatable,,
Vmware Tools Installation,automatable,,
VM tools updates,automatable,,
Checking the Uptime and Scheduled Reboots,automatable,,
Extracting Licensing using existing command lines,automatable,,
To add API Key,automatable,,
File system Creation ( CIFS / NFS ) - EMC,automatable,,
File system Creation ( CIFS / NFS ) - Netapp,automatable,,
Volume / Quota modify ( Increase ) - EMC,automatable,,
Volume / Quota modify ( Increase ) - NetApp,automatable,,
Snapvault / Snapmirror Monitoring,automatable,,
DB  Monitoring,automatable,,
Quarterly Patching for the databases,automatable,,
User creation in the databases,automatable,,
Configuring new standby database,automatable,,
Installation of client binaries,automatable,,
Installation of database binaries and databases,automatable,,
Password change for oracle user,automatable,,
New DB build,automatable,,
Backup Configuration for the databases,automatable,,
exporting membership details from FSL,automatable,,
export license usage in FSL tenant,automatable,,
Bulk Export Mailbox Usage,automatable,,
Bulk License Modification,automatable,,
unsync from directory,automatable,,
Setting up forwarding in bulk,automatable,,
Licence removal,automatable,,
Bulk OU Move,automatable,,
Bulk Display Name Change,automatable,,
Server monitering Check,automatable,,
SEPM DB Connectivity,automatable,,
SEPM components monitoring,automatable,,
SEPM server Memory Utilization,automatable,,
SEPM server CPU Utilization,automatable,,
SEP server Time Misconfiguration,automatable,,
SEP AV definitions out of date,automatable,,
SEP DB backup,automatable,,
SEP Hung Lucomserver (Liveupdate),automatable,,
SEP server Disk utilization ,automatable,,
SEP Windows service failure,automatable,,
SEP License expiry,automatable,,
SEP License over deployed,automatable,,
"SEP Risk detection report (Daily, weekly, Monthly)",automatable,,
SEP Weekly Virus scans,automatable,,
SEP Client upgrade ,automatable,,
SEP Syslog configuration for SEPM,automatable,,
NTP Log analysis,automatable,,
Client status Log analysis,automatable,,
Management server health check,automatable,,
Reporting clients health check,automatable,,
Virus definition analysis for Servers and VDI,automatable,,
Risk log analysis ,automatable,,
Removal of duplicate client machine entries,automatable,,
Removal of offline client machines,automatable,,
McAfee server/console health monitoring and analysis,automatable,,
Dat version analysis,automatable,,
Linux server Risk logs analysis,automatable,,
Upgrade or migration activities,automatable,,
Rapid 7 Scheduled scans,automatable,,
Rapid 7 Scanner monitoring,automatable,,
Design report templates,automatable,,
Monitoring newly added vulnerabilties to the database,automatable,,
Report generations,automatable,,
Check the H/W configuration of master server and media server.,automatable,,
Windows Server Decommision - Windows Team (Remove MOM),automatable,,
Windows Server Decommision - EMS Tools Team,automatable,,
Virtual Windows Server Build - Monitoring Tools Enrollment,automatable,,
Virtual Windows Server Build - Asset Management,automatable,,
Total CPU Utilization Percentage is too high (Extension of Phase 1 scripts to not only provide historical reports but further execute auto tasks like process kill based upon pre-defined parameters by OS team - feasbility check to be done for script enhancement),automatable,,
"Low Disk Space Incident (Extension of script created in Phase 1 which was generating automated capacity report for servers based upon defined thresholds and cleanining up certain FS. To check if the script can be enhanved to clear more FS and complex workflows inclusing timer values (where an alert is triggered only after disk remains high for a certain period. Plus, as recent migration to Foglight- can be checked for threshodl values fine tuning post SCOM migration",automatable,,
Windows Service Stopped Incident (Windows Server Service Stopped Path: <servername>),automatable,,
SCOM: Cluster Service,automatable,,
Device Password Reset,automatable,,
List of Inactive Computers in CSV file,automatable,,
AD users report,automatable,,
group membership export for multiple groups,automatable,,
ESX Memory alerts,automatable,,
Healthcheck,automatable,,
Push the configuration to switch,automatable,,
Take back up of switches ,automatable,,
High Memory Usage,automatable,,
Linux Nimsoft agent deletion,automatable,,
CPU Load Percentage,automatable,,
Dot Com File Arrival Report,automatable,,
Script to pull RDM disk of the VM with Naa id.,automatable,,
Script to get all the hosts which are in MM,automatable,,
Script to fetch the WWN number of the HBA on the ESXI hots on a particular cluster. Would be helpful when someone request for the new Datastore from Storage team. ,automatable,,
Input/output Discards from Cisco Switch,automatable,,
Vmware Disk Latency,automatable,,
to delete the hostname based on user exist,automatable,,
"This is the healthcheck powershell script for 7 mode and C mode in netapp storage it will fetch spare disk status,unassign disk,broken disk and cluster status.The output will be redirected to text file. ",automatable,,
This script is used to check the health status of Storage array which includes list of storage pool of THIN type and list of env_data of falied service state and respective output which are moved to given SFTP location . also get the list of servers as an input and mail will be sent to user with attachment which has servers list which are Not Logged in along with their HBA and WWPN details.,automatable,,
DL Creation,automatable,,
TLS Setup for domains that are TLS enabled,automatable,,
Mail Indexing,automatable,,
DL Group Addition ,automatable,,
Email Delivery Failure Notification,automatable,,
Mass 360 - Iphone Device Validation and Removal,automatable,,
Database Refresh  ,automatable,,
Monitor and Manage Tablespace Growth/Table and index reorganization,automatable,,
"Performance Alerts(Session blocked alert,Transaction Log alert,Process bolcked alert,Cache hit alert)",automatable,,
Script Deployments/Weekly and Monthly Build activities,automatable,,
"Utilisation/Bandwidth Issue (Alerts related to CPU, Memory, Disk, Network etc.)",automatable,,
Switch Port Vlan Configuration,automatable,,
SNMP Configuration - Router,automatable,,
SNMP Configuration - Switch,automatable,,
Hardrive replacement on standalone/VM/SAN connected/cluster Node ,automatable,,
NIC replacement on standalone/VM/SAN connected/cluster Node,automatable,,
Tuning of  Solaris  OS - 3 predefined tuning steps   ,automatable,,
DIMM Error on standalone/VM/SAN connected/cluster Node ,automatable,,
Monitor Network Interfaces - using commands like ip link show for 3 predefined params ,automatable,,
Configure the Name Service Switch ,automatable,,
Monitor System Access - 3 predefined parameters  ,automatable,,
Replacing faulty hardware ,automatable,,
Administering and Maintaining Opcenter server ,automatable,,
vDisk optimization procedure,automatable,,
IP Assignment on network interfaces - by editing the etc/sysconfig/network-scripts/ files  ,automatable,,
Hardening Solaris  OS  ,automatable,,
Solaris 10 Zone Administration add/delete/modify ,automatable,,
Printer Administration ,automatable,,
Add  Filesystem ,automatable,,
Remove  Filesystem ,automatable,,
Backup Failure/Restore requests,automatable,,
Request for Reports/Weekly & Monthly report generation,automatable,,
Call Forwarding -Cisco,automatable,,
Log Monitoring solution for backup failure event generation,automatable,,
H/W Monitoring,automatable,,
Ticket creation for OPC Alerts,automatable,,
Automation of SCCM Deployments ,automatable,,
SCCM Not Reached Agents Remediation,automatable,,
Automation of WWISDM SOP,automatable,,
Script for Installing/Updating/Removing package using script,automatable,,
Get complete status of AD health,automatable,,
Monitors the disk space and triggers the mail,automatable,,
create an admin user,automatable,,
Generate AD expire report,automatable,,
All AD user list,automatable,,
Counter of exchange database log files,automatable,,
Complete health checkup of citrix servers,automatable,,
"Report for generating CPU,Memory,UP time and C Drive utilization",automatable,,
Identifying AD group for the application.,automatable,,
Disable user account in AD and generate pre and post report,automatable,,
Extract the AD groups for a user.,automatable,,
Add multiple users to multiple groups,automatable,,
"Create, delete a account for a user in AD",automatable,,
Create shared mailbox in Exchange,automatable,,
Assign Access permission to the user for the sepcified mailbox in exchange,automatable,,
"Create, rename and delete multiple distribution groups in AD",automatable,,
"Create, rename and delete multiple security groups in AD",automatable,,
Add or remove members and update owner for the specified distribution group,automatable,,
Mirror all the memeberof groups from the mirror id to the specified user id,automatable,,
Create a mailbox in Exchange for new user,automatable,,
Remove shared mailbox from Exchange,automatable,,
AD Expiration Notification and updating,automatable,,
Request Survey report from SNOW,automatable,,
Create the ticket by giving subject and body as input,automatable,,
Fetch input from Email and raise the ticket,automatable,,
Auto incident creation for Back up alerts,automatable,,
Incident back log report automation,automatable,,
Closed incidents report Automation,automatable,,
Overall incident creation and assignment report automation,automatable,,
Weekly incident report automation,automatable,,
Month to Date  incident Report,automatable,,
"Send an email with different details (like Issure, Expire Date, Status, Services) about certificates in Exchange.",automatable,,
Send an email with CSV file having details about disconnected user's session list,automatable,,
RU Count for User Mailbox.,automatable,,
"Receive displayname, owner name, organisational unit, member list and create DL",automatable,,
"Assign folder permission to the users in Exchange (Calendar,Inbox..)",automatable,,
"Check Service Health, Assistant Health, Replication Health, MAPI Connectivity, Oulook WEB Service Health and ActiveSync Connectivity",automatable,,
Mailbox Database Copy Status After Failover,automatable,,
Create a public folder in Exchange,automatable,,
Provide Public Folder permission,automatable,,
Global Message Retrieval E-mail,automatable,,
Assign Full Access permissions to the user for a particular mailbox,automatable,,
Assign Send As permission to the user for a particular Mailbox,automatable,,
Retrieve status of all cluster Mailbox Servers in the  environment,automatable,,
Retrieve the running services and sending an email alert to notify the user ,automatable,,
Generate Exchange 2010 Mailbox Database report and it will send as a HTML Email,automatable,,
Checks all Database Availability Group Health Checks in the organization,automatable,,
Restart Apache Tomcat,automatable,,
Delete log files,automatable,,
Start and shutdown service,automatable,,
Deploying the ASP.net code in IIS servers,automatable,,
RU count,automatable,,
To monitor Hung state job,automatable,,
Give the pending reboot status of the servers,automatable,,
Uninstall the sccm client and remodification,automatable,,
Collect the disk details and last boot up time,automatable,,
Collect the disk details of c drive and last boot up time,automatable,,
Report of server details,automatable,,
Report of os details,automatable,,
Fetch a machine's installed applications details,automatable,,
Generate report of sccm server details,automatable,,
Generate report from SNOW on VIP users as requester,automatable,,
Script for checking caller history,automatable,,
CSAT/DSAT Incident Survey report from SNOW,automatable,,
Monthly Incident CSAT/DSAT report,automatable,,
Get the content database status,automatable,,
Backup of the site collection,automatable,,
Get Microsoft SharePoint Administration HealthReportsList,automatable,,
Generate the disk space report of the server,automatable,,
Generate the CPU Utilisation report of the server ,automatable,,
Generate a sharepoint server status report,automatable,,
Get application pool status ,automatable,,
Generates report to list Services status,automatable,,
Generates report to list crawl status of local SharePoint Farm,automatable,,
Generates report to list failed timer jobs of local SharePoint Farm using powershell,automatable,,
Hana Production Nfs,automatable,,
DB_Alerts -� We will get the threshold �DB File system alerts above 80%,automatable,,
Ignite Alerts - OS backup failure and success alerts ,automatable,,
Export the list of vm's with snapshot enabled ,automatable,,
New Server build config and validation ,automatable,,
Reboot a multiple servers,automatable,,
"Get the customized ping output in table format, this script will ping the server by using ping tool ",automatable,,
Get the disk information in the form of an HTML report ,automatable,,
Report on service details,automatable,,
Script for restarting nfs service and check the status after getting input from user,automatable,,
Script for rebooting a system,automatable,,
All Computers List,automatable,,
UK off hour incidents report,automatable,,
shell script that uses SSH to list all the paging devices within the physical volume ,automatable,,
This script collects the data about the current load average on the server.,automatable,,
shell script using SSH that checks the I/O utilization and generates a text file as a report for the monitoring part that is done and is stored as a log file.,automatable,,
shell script to list all the system processes using SSH,automatable,,
"Simple yet efficient shell script to fetch the Virtual Memory Statistics, All Memory Information (Free/Used Memory/Usage), Uptime, CPU Utilization of the list of servers",automatable,,
Shell script to check the queue data of each printer and then remove the queue,automatable,,
Simple shell script to check the printer queue status by accepting the queue name as an input from the user.,automatable,,
"Menu based shell script that allows the user to get the details of Total physical memory, Free physical memory and also swap status of the server.",automatable,,
This script is to show the current configuration details,automatable,,
"Menu based shell script to start, stop nfs daemons and also get the status of the nfs daemons.",automatable,,
Shell script that checks the status of all the file systems present within a server and generates a text file as a report for the monitoring part that is done and is stored as a log file.,automatable,,
"Menu based shell script to Configuring Paging Space, Listing Virtual Memory, Listing of paging device, Changing paging spaces dynamically",automatable,,
Simple shell script that asks for the location of filesystem that has to be scanned for files that exist longer than certain period of time.,automatable,,
"Menu based shell script to  Stop services, Start Services, Refresh Service, List of all services ",automatable,,
Shell script to get the percentage of memory  that has been utilized per process,automatable,,
Shell script to find the number of paging devices that are mapped to a server list.,automatable,,
Shell script to get the cpu utilization of the servers that are in the list and give out warnings on those servers whose threshold is less than the cpu utilized. ,automatable,,
"Menu based shell script to monitor and fetch the details of the network. The menu items consist of listing all ports,Listing TCP/UDP, Listing active listening ports/TCP/UDP",automatable,,
URL unreachable,automatable,,
Process management,automatable,,
Adding new printer to unix landscape,automatable,,
Adding new hosts entry to ANY aix system,automatable,,
Database Restoration,automatable,,
Disk Report,automatable,,
Daily Report on Email alerts,automatable,,
DL User Addition,automatable,,
DL User Deletion,automatable,,
